epoch,train_acc,val_acc,train_loss,val_loss,avg_grad,GPU1_tot,GPU1_occ
0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.639,0.882,1.586,1.627,0.0054,25445,2
1,0.905,0.926,1.502,1.557,0.0038,25445,2
2,0.931,0.938,1.519,1.539,0.0039,25445,2
3,0.944,0.949,1.589,1.523,0.0026,25445,2
4,0.955,0.961,1.481,1.511,0.0021,25445,2
5,0.959,0.964,1.484,1.505,0.0049,25445,2
6,0.963,0.97,1.521,1.498,0.0012,25445,2
7,0.969,0.973,1.521,1.494,0.0009,25445,2
8,0.974,0.976,1.461,1.491,0.0,25445,2
9,0.976,0.978,1.527,1.489,0.0008,25445,2
10,0.978,0.981,1.471,1.485,0.0016,25445,2
11,0.98,0.983,1.462,1.483,0.0001,25445,2
12,0.982,0.984,1.465,1.481,0.0008,25445,2
13,0.983,0.985,1.461,1.48,0.0,25445,2
14,0.985,0.986,1.461,1.479,0.0,25445,2
15,0.986,0.988,1.462,1.477,0.0004,25445,2
16,0.987,0.989,1.462,1.476,0.0001,25445,2
17,0.988,0.99,1.48,1.475,0.0034,25445,2
18,0.989,0.99,1.582,1.474,0.0002,25445,2
19,0.991,0.992,1.485,1.472,0.0036,25445,2
20,0.991,0.992,1.47,1.471,0.0016,25445,2
21,0.992,0.993,1.463,1.471,0.0005,25445,2
22,0.993,0.994,1.465,1.47,0.0013,25445,2
23,0.994,0.994,1.461,1.47,0.0,25445,2
24,0.993,0.994,1.461,1.469,0.0,25445,2
25,0.994,0.995,1.461,1.468,0.0,25445,2
26,0.994,0.995,1.461,1.468,0.0,25445,2
27,0.994,0.995,1.463,1.468,0.0003,25445,2
28,0.995,0.995,1.465,1.467,0.001,25445,2
29,0.995,0.995,1.461,1.467,0.0,25445,2
30,0.995,0.995,1.462,1.467,0.0001,25445,2
31,0.995,0.995,1.462,1.468,0.0002,25445,2
32,0.995,0.994,1.461,1.469,0.0001,25445,2
33,0.995,0.995,1.461,1.467,0.0001,25445,2
34,0.995,0.995,1.461,1.467,0.0,25445,2
35,0.995,0.995,1.463,1.468,0.0005,25445,2
36,0.995,0.996,1.461,1.466,0.0,25445,2
37,0.996,0.996,1.461,1.466,0.0,25445,2
38,0.996,0.996,1.468,1.466,0.0029,25445,2
39,0.996,0.996,1.461,1.465,0.0,25445,2
40,0.996,0.993,1.461,1.47,0.0001,25445,2
41,0.996,0.996,1.461,1.465,0.0,25445,2
42,0.996,0.996,1.523,1.465,0.0003,25445,2
43,0.996,0.996,1.465,1.465,0.0008,25445,2
44,0.996,0.996,1.461,1.465,0.0,25445,2
45,0.996,0.996,1.461,1.465,0.0,25445,2
46,0.996,0.996,1.464,1.465,0.0013,25445,2
47,0.996,0.996,1.462,1.466,0.0004,25445,2
48,0.996,0.996,1.461,1.466,0.0,25445,2
49,0.996,0.995,1.461,1.467,0.0001,25445,2
50,0.996,0.996,1.519,1.465,0.0012,25445,2
51,0.996,0.996,1.461,1.466,0.0,25445,2
52,0.996,0.997,1.467,1.465,0.0013,25445,2
53,0.996,0.997,1.461,1.465,0.0,25445,2
54,0.996,0.997,1.461,1.464,0.0,25445,2
55,0.997,0.997,1.461,1.464,0.0,25445,2
56,0.997,0.997,1.461,1.464,0.0,25445,2
57,0.997,0.997,1.461,1.464,0.0,25445,2
58,0.997,0.997,1.461,1.464,0.0,25445,2
59,0.997,0.997,1.461,1.464,0.0,25445,2
60,0.997,0.997,1.461,1.464,0.0001,25445,2
61,0.997,0.994,1.461,1.468,0.0,25445,2
62,0.995,0.997,1.463,1.465,0.0009,25445,2
63,0.997,0.997,1.519,1.464,0.0005,25445,2
64,0.997,0.997,1.461,1.464,0.0,25445,2
65,0.997,0.997,1.461,1.464,0.0,25445,2
